network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:400:bc20::/43,6252001,6252001,,0,0,
2001:400:bc40::/42,6252001,6252001,,0,0,
2001:400:bc80::/41,6252001,6252001,,0,0,
2001:400:bd00::/40,6252001,6252001,,0,0,
2001:400:be00::/39,6252001,6252001,,0,0,
2001:400:c000::/34,6252001,6252001,,0,0,
2001:408::/32,6252001,6252001,,0,0,
2001:410::/32,6251999,6251999,,0,0,
2001:418::/48,,6252001,,0,0,
2001:418:1::/48,6252001,6252001,,0,0,
2001:418:2::/47,6252001,6252001,,0,0,
2001:418:4::/46,6252001,6252001,,0,0,
2001:418:8::/45,6252001,6252001,,0,0,
2001:418:10::/44,6252001,6252001,,0,0,
2001:418:20::/43,6252001,6252001,,0,0,
2001:418:40::/42,6252001,6252001,,0,0,
2001:418:80::/41,6252001,6252001,,0,0,
2001:418:100::/40,6252001,6252001,,0,0,
2001:418:200::/39,6252001,6252001,,0,0,
2001:418:400::/38,6252001,6252001,,0,0,
2001:418:800::/37,6252001,6252001,,0,0,
2001:418:1000::/38,6252001,6252001,,0,0,
2001:418:1400::/43,6252001,6252001,,0,0,
2001:418:1420::/44,6252001,6252001,,0,0,
2001:418:1430::/45,6252001,6252001,,0,0,
2001:418:1438::/48,6252001,6252001,,0,0,
2001:418:1439::/64,6251999,6252001,,0,0,
2001:418:1439:1::/64,6252001,6252001,,0,0,
2001:418:1439:2::/63,6252001,6252001,,0,0,
2001:418:1439:4::/62,6252001,6252001,,0,0,
2001:418:1439:8::/61,6252001,6252001,,0,0,
2001:418:1439:10::/60,6252001,6252001,,0,0,
2001:418:1439:20::/59,6252001,6252001,,0,0,
2001:418:1439:40::/58,6252001,6252001,,0,0,
2001:418:1439:80::/57,6252001,6252001,,0,0,
2001:418:1439:100::/56,6252001,6252001,,0,0,
2001:418:1439:200::/55,6252001,6252001,,0,0,
2001:418:1439:400::/54,6252001,6252001,,0,0,
2001:418:1439:800::/53,6252001,6252001,,0,0,
2001:418:1439:1000::/52,6252001,6252001,,0,0,
2001:418:1439:2000::/51,6252001,6252001,,0,0,
2001:418:1439:4000::/50,6252001,6252001,,0,0,
2001:418:1439:8000::/49,6252001,6252001,,0,0,
2001:418:143a::/47,6252001,6252001,,0,0,
2001:418:143c::/46,6252001,6252001,,0,0,
2001:418:1440::/42,6252001,6252001,,0,0,
2001:418:1480::/41,6252001,6252001,,0,0,
2001:418:1500::/40,6252001,6252001,,0,0,
2001:418:1600::/39,6252001,6252001,,0,0,
2001:418:1800::/37,6252001,6252001,,0,0,
2001:418:2000::/35,6252001,6252001,,0,0,
2001:418:4000::/34,6252001,6252001,,0,0,
2001:418:8000::/33,6252001,6252001,,0,0,
2001:420::/34,6252001,6252001,,0,0,
2001:420:4000::/40,2635167,6252001,,0,0,
2001:420:4100::/40,2750405,6252001,,0,0,
2001:420:4200::/39,2750405,6252001,,0,0,
2001:420:4400::/41,2750405,6252001,,0,0,
2001:420:4480::/45,294640,6252001,,0,0,
2001:420:4488::/45,2750405,6252001,,0,0,
2001:420:4490::/44,2750405,6252001,,0,0,
2001:420:44a0::/43,2750405,6252001,,0,0,
2001:420:44c0::/42,2750405,6252001,,0,0,
2001:420:4500::/40,2750405,6252001,,0,0,
2001:420:4600::/39,2750405,6252001,,0,0,
2001:420:4800::/37,2750405,6252001,,0,0,
2001:420:5000::/39,2077456,6252001,,0,0,
2001:420:5200::/39,1861060,6252001,,0,0,
2001:420:5400::/38,1861060,6252001,,0,0,
2001:420:5800::/38,1861060,6252001,,0,0,
2001:420:5c00::/39,1880251,6252001,,0,0,
2001:420:5e00::/39,1861060,6252001,,0,0,
2001:420:6000::/35,1861060,6252001,,0,0,
2001:420:8000::/34,6252001,6252001,,0,0,
2001:420:c000::/41,6252001,6252001,,0,0,
2001:420:c080::/42,6252001,6252001,,0,0,
2001:420:c0c0::/46,2750405,6252001,,0,0,
2001:420:c0c4::/46,6252001,6252001,,0,0,
2001:420:c0c8::/45,6252001,6252001,,0,0,
2001:420:c0d0::/46,2077456,6252001,,0,0,
2001:420:c0d4::/46,1880251,6252001,,0,0,
2001:420:c0d8::/45,1861060,6252001,,0,0,
2001:420:c0e0::/43,6252001,6252001,,0,0,
2001:420:c100::/40,6252001,6252001,,0,0,
2001:420:c200::/39,6252001,6252001,,0,0,
2001:420:c400::/38,6252001,6252001,,0,0,
2001:420:c800::/37,6252001,6252001,,0,0,
2001:420:d000::/36,6252001,6252001,,0,0,
2001:420:e000::/35,6252001,6252001,,0,0,
2001:428::/32,6252001,6252001,,0,0,
2001:430::/32,6252001,6252001,,0,0,
2001:438::/33,6252001,6252001,,0,0,
2001:438:8000::/34,6252001,6252001,,0,0,
2001:438:c000::/35,6252001,6252001,,0,0,
2001:438:e000::/36,6252001,6252001,,0,0,
2001:438:f000::/37,6252001,6252001,,0,0,
2001:438:f800::/38,6252001,6252001,,0,0,
2001:438:fc00::/39,6252001,6252001,,0,0,
2001:438:fe00::/40,6252001,6252001,,0,0,
2001:438:ff00::/41,6252001,6252001,,0,0,
2001:438:ff80::/42,6252001,6252001,,0,0,
2001:438:ffc0::/43,6252001,6252001,,0,0,
2001:438:ffe0::/44,6252001,6252001,,0,0,
2001:438:fff0::/45,6252001,6252001,,0,0,
2001:438:fff8::/46,6252001,6252001,,0,0,
2001:438:fffc::/47,6252001,6252001,,0,0,
2001:438:fffe::/48,,6252001,,0,0,
2001:438:ffff::/64,6251999,6252001,,0,0,
2001:438:ffff:1::/64,6252001,6252001,,0,0,
2001:438:ffff:2::/63,6252001,6252001,,0,0,
2001:438:ffff:4::/62,6252001,6252001,,0,0,
2001:438:ffff:8::/61,6252001,6252001,,0,0,
2001:438:ffff:10::/60,6252001,6252001,,0,0,
2001:438:ffff:20::/59,6252001,6252001,,0,0,
2001:438:ffff:40::/58,6252001,6252001,,0,0,
2001:438:ffff:80::/57,6252001,6252001,,0,0,
2001:438:ffff:100::/56,6252001,6252001,,0,0,
2001:438:ffff:200::/55,6252001,6252001,,0,0,
2001:438:ffff:400::/54,6252001,6252001,,0,0,
2001:438:ffff:800::/53,6252001,6252001,,0,0,
2001:438:ffff:1000::/52,6252001,6252001,,0,0,
2001:438:ffff:2000::/51,6252001,6252001,,0,0,
2001:438:ffff:4000::/50,6252001,6252001,,0,0,
2001:438:ffff:8000::/49,6252001,6252001,,0,0,
2001:440::/32,6252001,6252001,,0,0,
2001:450::/44,6252001,6252001,,0,0,
2001:450:10::/45,6252001,6252001,,0,0,
2001:450:18::/46,6252001,6252001,,0,0,
2001:450:1c::/48,6251999,6252001,,0,0,
2001:450:1d::/48,2635167,6252001,,0,0,
2001:450:1e::/48,3017382,6252001,,0,0,
2001:450:1f::/48,6251999,6252001,,0,0,
2001:450:20::/43,6252001,6252001,,0,0,
2001:450:40::/42,6252001,6252001,,0,0,
2001:450:80::/41,6252001,6252001,,0,0,
2001:450:100::/40,6252001,6252001,,0,0,
2001:450:200::/39,6252001,6252001,,0,0,
2001:450:400::/38,6252001,6252001,,0,0,
2001:450:800::/37,6252001,6252001,,0,0,
2001:450:1000::/36,6252001,6252001,,0,0,
2001:450:2000::/35,6252001,6252001,,0,0,
2001:450:4000::/34,6252001,6252001,,0,0,
2001:450:8000::/33,6252001,6252001,,0,0,
2001:458::/32,6252001,6252001,,0,0,
2001:460::/32,6252001,6252001,,0,0,
2001:468::/32,6252001,6252001,,0,0,
2001:470::/47,,6252001,,0,0,
2001:470:2::/47,6252001,6252001,,0,0,
2001:470:4::/48,6252001,6252001,,0,0,
2001:470:5::/64,6252001,6252001,,0,0,
2001:470:5:1::/64,3469034,6252001,,0,0,
2001:470:5:2::/64,3624060,6252001,,0,0,
2001:470:5:3::/64,6252001,6252001,,0,0,
2001:470:5:4::/64,3469034,6252001,,0,0,
2001:470:5:5::/64,6252001,6252001,,0,0,
2001:470:5:6::/63,6252001,6252001,,0,0,
2001:470:5:8::/64,3865483,6252001,,0,0,
2001:470:5:9::/64,6252001,6252001,,0,0,
2001:470:5:a::/64,1814991,6252001,,0,0,
2001:470:5:b::/64,3658394,6252001,,0,0,
2001:470:5:c::/64,3608932,6252001,,0,0,
